,IOC,Breeding Range,Order,Family,Indonesian
9247,Passer simplex,AF,PASSERIFORMES,Passeridae,Desert Sparrow
9248,Passer zarudnyi,PAL,PASSERIFORMES,Passeridae,Zarudny's Sparrow
9249,Passer euchlorus,"AF, PAL",PASSERIFORMES,Passeridae,Arabian Golden Sparrow
9250,Passer luteus,AF,PASSERIFORMES,Passeridae,Sudan Golden Sparrow
9251,Passer moabiticus,PAL,PASSERIFORMES,Passeridae,Dead Sea Sparrow
9252,Bubalornis albirostris,AF,PASSERIFORMES,Ploceidae,White-billed Buffalo Weaver
9253,Bubalornis niger,AF,PASSERIFORMES,Ploceidae,Red-billed Buffalo Weaver
9254,Dinemellia dinemelli,AF,PASSERIFORMES,Ploceidae,White-headed Buffalo Weaver
9255,Plocepasser mahali,AF,PASSERIFORMES,Ploceidae,White-browed Sparrow-Weaver
9256,Plocepasser superciliosus,AF,PASSERIFORMES,Ploceidae,Chestnut-crowned Sparrow-Weaver
9257,Plocepasser donaldsoni,AF,PASSERIFORMES,Ploceidae,Donaldson Smith's Sparrow-Weaver
9258,Plocepasser rufoscapulatus,AF,PASSERIFORMES,Ploceidae,Chestnut-backed Sparrow-Weaver
9259,Histurgops ruficauda,AF,PASSERIFORMES,Ploceidae,Rufous-tailed Weaver
9260,Pseudonigrita arnaudi,AF,PASSERIFORMES,Ploceidae,Grey-capped Social Weaver
9261,Pseudonigrita cabanisi,AF,PASSERIFORMES,Ploceidae,Black-capped Social Weaver
9262,Philetairus socius,AF,PASSERIFORMES,Ploceidae,Sociable Weaver
9263,Sporopipes squamifrons,AF,PASSERIFORMES,Ploceidae,Scaly-feathered Weaver
9264,Sporopipes frontalis,AF,PASSERIFORMES,Ploceidae,Speckle-fronted Weaver
9265,Amblyospiza albifrons,AF,PASSERIFORMES,Ploceidae,Thick-billed Weaver
9266,Ploceus baglafecht,AF,PASSERIFORMES,Ploceidae,Baglafecht Weaver
9267,Ploceus bannermani,AF,PASSERIFORMES,Ploceidae,Bannerman's Weaver
9268,Ploceus batesi,AF,PASSERIFORMES,Ploceidae,Bates's Weaver
9269,Ploceus nigrimentus,AF,PASSERIFORMES,Ploceidae,Black-chinned Weaver
9270,Ploceus bertrandi,AF,PASSERIFORMES,Ploceidae,Bertram's Weaver
9271,Ploceus pelzelni,AF,PASSERIFORMES,Ploceidae,Slender-billed Weaver
9272,Ploceus subpersonatus,AF,PASSERIFORMES,Ploceidae,Loango Weaver
9273,Ploceus luteolus,AF,PASSERIFORMES,Ploceidae,Little Weaver
9274,Ploceus ocularis,AF,PASSERIFORMES,Ploceidae,Spectacled Weaver
9275,Ploceus brachypterus,AF,PASSERIFORMES,Ploceidae,Olive-naped Weaver
9276,Ploceus nigricollis,AF,PASSERIFORMES,Ploceidae,Black-necked Weaver
9277,Ploceus alienus,AF,PASSERIFORMES,Ploceidae,Strange Weaver
9278,Ploceus melanogaster,AF,PASSERIFORMES,Ploceidae,Black-billed Weaver
9279,Ploceus capensis,AF,PASSERIFORMES,Ploceidae,Cape Weaver
9280,Ploceus temporalis,AF,PASSERIFORMES,Ploceidae,Bocage's Weaver
9281,Ploceus subaureus,AF,PASSERIFORMES,Ploceidae,Eastern Golden Weaver
9282,Ploceus xanthops,AF,PASSERIFORMES,Ploceidae,Holub's Golden Weaver
9283,Ploceus aurantius,AF,PASSERIFORMES,Ploceidae,Orange Weaver
9284,Ploceus heuglini,AF,PASSERIFORMES,Ploceidae,Heuglin's Masked Weaver
9285,Ploceus bojeri,AF,PASSERIFORMES,Ploceidae,Golden Palm Weaver
9286,Ploceus castaneiceps,AF,PASSERIFORMES,Ploceidae,Taveta Weaver
9287,Ploceus princeps,AF,PASSERIFORMES,Ploceidae,Principe Weaver
9288,Ploceus castanops,AF,PASSERIFORMES,Ploceidae,Northern Brown-throated Weaver
9289,Ploceus xanthopterus,AF,PASSERIFORMES,Ploceidae,Southern Brown-throated Weaver
9290,Ploceus holoxanthus,AF,PASSERIFORMES,Ploceidae,Ruvu Weaver
9291,Ploceus burnieri,AF,PASSERIFORMES,Ploceidae,Kilombero Weaver
9292,Ploceus galbula,AF,PASSERIFORMES,Ploceidae,Rüppell's Weaver
9293,Ploceus taeniopterus,AF,PASSERIFORMES,Ploceidae,Northern Masked Weaver
9294,Ploceus intermedius,AF,PASSERIFORMES,Ploceidae,Lesser Masked Weaver
9295,Ploceus velatus,AF,PASSERIFORMES,Ploceidae,Southern Masked Weaver
9296,Ploceus katangae,AF,PASSERIFORMES,Ploceidae,Katanga Masked Weaver
9297,Ploceus ruweti,AF,PASSERIFORMES,Ploceidae,Lufira Masked Weaver
9298,Ploceus reichardi,AF,PASSERIFORMES,Ploceidae,Tanzanian Masked Weaver
9299,Ploceus vitellinus,AF,PASSERIFORMES,Ploceidae,Vitelline Masked Weaver
9300,Ploceus spekei,AF,PASSERIFORMES,Ploceidae,Speke's Weaver
9301,Ploceus spekeoides,AF,PASSERIFORMES,Ploceidae,Fox's Weaver
9302,Ploceus cucullatus,AF,PASSERIFORMES,Ploceidae,Village Weaver
9303,Ploceus grandis,AF,PASSERIFORMES,Ploceidae,Giant Weaver
9304,Ploceus castaneofuscus,AF,PASSERIFORMES,Ploceidae,Chestnut-and-black Weaver
9305,Ploceus nigerrimus,AF,PASSERIFORMES,Ploceidae,Vieillot's Black Weaver
9306,Ploceus weynsi,AF,PASSERIFORMES,Ploceidae,Weyns's Weaver
9307,Ploceus golandi,AF,PASSERIFORMES,Ploceidae,Clarke's Weaver
9308,Ploceus dichrocephalus,AF,PASSERIFORMES,Ploceidae,Juba Weaver
9309,Ploceus melanocephalus,AF,PASSERIFORMES,Ploceidae,Black-headed Weaver
9310,Ploceus jacksoni,AF,PASSERIFORMES,Ploceidae,Golden-backed Weaver
9311,Ploceus badius,AF,PASSERIFORMES,Ploceidae,Cinnamon Weaver
9312,Ploceus rubiginosus,AF,PASSERIFORMES,Ploceidae,Chestnut Weaver
9313,Ploceus aureonucha,AF,PASSERIFORMES,Ploceidae,Golden-naped Weaver
9314,Ploceus tricolor,AF,PASSERIFORMES,Ploceidae,Yellow-mantled Weaver
9315,Ploceus albinucha,AF,PASSERIFORMES,Ploceidae,Maxwell's Black Weaver
9316,Ploceus nelicourvi,AF,PASSERIFORMES,Ploceidae,Nelicourvi Weaver
9317,Ploceus sakalava,AF,PASSERIFORMES,Ploceidae,Sakalava Weaver
9318,Ploceus hypoxanthus,OR,PASSERIFORMES,Ploceidae,Manyar emas
9319,Ploceus superciliosus,AF,PASSERIFORMES,Ploceidae,Compact Weaver
9320,Ploceus benghalensis,OR,PASSERIFORMES,Ploceidae,Black-breasted Weaver
9321,Ploceus manyar,OR,PASSERIFORMES,Ploceidae,Manyar jambul
9322,Ploceus philippinus,OR,PASSERIFORMES,Ploceidae,Manyar tempua
9323,Ploceus megarhynchus,OR,PASSERIFORMES,Ploceidae,Finn's Weaver
9324,Ploceus bicolor,AF,PASSERIFORMES,Ploceidae,Dark-backed Weaver
9325,Ploceus preussi,AF,PASSERIFORMES,Ploceidae,Preuss's Weaver
9326,Ploceus dorsomaculatus,AF,PASSERIFORMES,Ploceidae,Yellow-capped Weaver
9327,Ploceus olivaceiceps,AF,PASSERIFORMES,Ploceidae,Olive-headed Weaver
9328,Ploceus nicolli,AF,PASSERIFORMES,Ploceidae,Usambara Weaver
9329,Ploceus insignis,AF,PASSERIFORMES,Ploceidae,Brown-capped Weaver
9330,Ploceus angolensis,AF,PASSERIFORMES,Ploceidae,Bar-winged Weaver
9331,Ploceus sanctithomae,AF,PASSERIFORMES,Ploceidae,Sao Tome Weaver
9332,Ploceus flavipes,AF,PASSERIFORMES,Ploceidae,Yellow-legged Weaver
9333,Malimbus coronatus,AF,PASSERIFORMES,Ploceidae,Red-crowned Malimbe
9334,Malimbus cassini,AF,PASSERIFORMES,Ploceidae,Cassin's Malimbe
9335,Malimbus racheliae,AF,PASSERIFORMES,Ploceidae,Rachel's Malimbe
9336,Malimbus ballmanni,AF,PASSERIFORMES,Ploceidae,Gola Malimbe
9337,Malimbus scutatus,AF,PASSERIFORMES,Ploceidae,Red-vented Malimbe
9338,Malimbus ibadanensis,AF,PASSERIFORMES,Ploceidae,Ibadan Malimbe
9339,Malimbus nitens,AF,PASSERIFORMES,Ploceidae,Blue-billed Malimbe
9340,Malimbus rubricollis,AF,PASSERIFORMES,Ploceidae,Red-headed Malimbe
9341,Malimbus erythrogaster,AF,PASSERIFORMES,Ploceidae,Red-bellied Malimbe
9342,Malimbus malimbicus,AF,PASSERIFORMES,Ploceidae,Crested Malimbe
9343,Anaplectes rubriceps,AF,PASSERIFORMES,Ploceidae,Red-headed Weaver
9344,Anaplectes jubaensis,AF,PASSERIFORMES,Ploceidae,Red Weaver
9345,Quelea cardinalis,AF,PASSERIFORMES,Ploceidae,Cardinal Quelea
9346,Quelea erythrops,AF,PASSERIFORMES,Ploceidae,Red-headed Quelea
9347,Quelea quelea,AF,PASSERIFORMES,Ploceidae,Red-billed Quelea
9348,Foudia madagascariensis,AF,PASSERIFORMES,Ploceidae,Red Fody
9349,Foudia eminentissima,AF,PASSERIFORMES,Ploceidae,Comoro Fody
9350,Foudia aldabrana,AF,PASSERIFORMES,Ploceidae,Aldabra Fody
9351,Foudia omissa,AF,PASSERIFORMES,Ploceidae,Forest Fody
9352,Foudia rubra,IO,PASSERIFORMES,Ploceidae,Mauritius Fody
9353,Foudia sechellarum,IO,PASSERIFORMES,Ploceidae,Seychelles Fody
9354,Foudia flavicans,IO,PASSERIFORMES,Ploceidae,Rodrigues Fody
9355,Brachycope anomala,AF,PASSERIFORMES,Ploceidae,Bob-tailed Weaver
9356,Euplectes afer,AF,PASSERIFORMES,Ploceidae,Yellow-crowned Bishop
9357,Euplectes diadematus,AF,PASSERIFORMES,Ploceidae,Fire-fronted Bishop
9358,Euplectes gierowii,AF,PASSERIFORMES,Ploceidae,Black Bishop
9359,Euplectes nigroventris,AF,PASSERIFORMES,Ploceidae,Zanzibar Red Bishop
9360,Euplectes hordeaceus,AF,PASSERIFORMES,Ploceidae,Black-winged Red Bishop
9361,Euplectes orix,AF,PASSERIFORMES,Ploceidae,Southern Red Bishop
9362,Euplectes franciscanus,AF,PASSERIFORMES,Ploceidae,Northern Red Bishop
9363,Euplectes aureus,AF,PASSERIFORMES,Ploceidae,Golden-backed Bishop
9364,Euplectes capensis,AF,PASSERIFORMES,Ploceidae,Yellow Bishop
9365,Euplectes axillaris,AF,PASSERIFORMES,Ploceidae,Fan-tailed Widowbird
9366,Euplectes macroura,AF,PASSERIFORMES,Ploceidae,Yellow-mantled Widowbird
9367,Euplectes hartlaubi,AF,PASSERIFORMES,Ploceidae,Marsh Widowbird
9368,Euplectes psammacromius,AF,PASSERIFORMES,Ploceidae,Montane Widowbird
9369,Euplectes albonotatus,AF,PASSERIFORMES,Ploceidae,White-winged Widowbird
9370,Euplectes ardens,AF,PASSERIFORMES,Ploceidae,Red-collared Widowbird
9371,Euplectes laticauda,AF,PASSERIFORMES,Ploceidae,Red-cowled Widowbird
9372,Euplectes progne,AF,PASSERIFORMES,Ploceidae,Long-tailed Widowbird
9373,Euplectes jacksoni,AF,PASSERIFORMES,Ploceidae,Jackson's Widowbird
9374,Heteromunia pectoralis,AU,PASSERIFORMES,Estrildidae,Pictorella Mannikin
9375,Oreostruthus fuliginosus,AU,PASSERIFORMES,Estrildidae,Pipit ekor-api
9376,Stagonopleura guttata,AU,PASSERIFORMES,Estrildidae,Diamond Firetail
9377,Stagonopleura oculata,AU,PASSERIFORMES,Estrildidae,Red-eared Firetail
9378,Stagonopleura bella,AU,PASSERIFORMES,Estrildidae,Beautiful Firetail
9379,Neochmia phaeton,AU,PASSERIFORMES,Estrildidae,Pipit matari
9380,Neochmia temporalis,AU,PASSERIFORMES,Estrildidae,Red-browed Finch
9381,Emblema pictum,AU,PASSERIFORMES,Estrildidae,Painted Finch
9382,Bathilda ruficauda,AU,PASSERIFORMES,Estrildidae,Star Finch
9383,Aidemosyne modesta,AU,PASSERIFORMES,Estrildidae,Plum-headed Finch
9384,Stizoptera bichenovii,AU,PASSERIFORMES,Estrildidae,Double-barred Finch
9385,Taeniopygia guttata,AU,PASSERIFORMES,Estrildidae,Pipit zebra
9386,Taeniopygia castanotis,AU,PASSERIFORMES,Estrildidae,Australian Zebra Finch
9387,Poephila personata,AU,PASSERIFORMES,Estrildidae,Masked Finch
9388,Poephila acuticauda,AU,PASSERIFORMES,Estrildidae,Long-tailed Finch
9389,Poephila cincta,AU,PASSERIFORMES,Estrildidae,Black-throated Finch
9390,Spermestes griseicapilla,AF,PASSERIFORMES,Estrildidae,Grey-headed Silverbill
9391,Spermestes cucullata,AF,PASSERIFORMES,Estrildidae,Bronze Mannikin
9392,Spermestes fringilloides,AF,PASSERIFORMES,Estrildidae,Magpie Mannikin
9393,Spermestes bicolor,AF,PASSERIFORMES,Estrildidae,Black-and-white Mannikin
9394,Lepidopygia nana,AF,PASSERIFORMES,Estrildidae,Madagascar Mannikin
9395,Euodice cantans,AF,PASSERIFORMES,Estrildidae,African Silverbill
9396,Euodice malabarica,OR,PASSERIFORMES,Estrildidae,Indian Silverbill
9397,Padda oryzivora,OR,PASSERIFORMES,Estrildidae,Gelatik jawa
9398,Padda fuscata,AU,PASSERIFORMES,Estrildidae,Gelatik timor
9399,Mayrimunia tristissima,AU,PASSERIFORMES,Estrildidae,Bondol coreng
9400,Mayrimunia leucosticta,AU,PASSERIFORMES,Estrildidae,Bondol coreng
9401,Lonchura punctulata,"OR, AU",PASSERIFORMES,Estrildidae,Bondol peking
9402,Lonchura kelaarti,OR,PASSERIFORMES,Estrildidae,Black-throated Munia
9403,Lonchura molucca,AU,PASSERIFORMES,Estrildidae,Bondol taruk
9404,Lonchura striata,OR,PASSERIFORMES,Estrildidae,Bondol tunggir-putih
9405,Lonchura fuscans,OR,PASSERIFORMES,Estrildidae,Bondol kalimantan
9406,Lonchura leucogastra,OR,PASSERIFORMES,Estrildidae,Bondol perut-putih
9407,Lonchura leucogastroides,OR,PASSERIFORMES,Estrildidae,Bondol jawa
9408,Lonchura malacca,OR,PASSERIFORMES,Estrildidae,Tricolored Munia
9409,Lonchura atricapilla,"OR, AU",PASSERIFORMES,Estrildidae,Bondol rawa
9410,Lonchura ferruginosa,OR,PASSERIFORMES,Estrildidae,White-capped Munia
9411,Lonchura maja,OR,PASSERIFORMES,Estrildidae,Bondol haji
9412,Lonchura pallida,AU,PASSERIFORMES,Estrildidae,Bondol kepala-pucat
9413,Lonchura grandis,AU,PASSERIFORMES,Estrildidae,Bondol paruh-besar
9414,Lonchura teerinki,AU,PASSERIFORMES,Estrildidae,Bondol dada-hitam
9415,Lonchura montana,AU,PASSERIFORMES,Estrildidae,Bondol jayawijaya
9416,Lonchura monticola,AU,PASSERIFORMES,Estrildidae,Eastern Alpine Mannikin
9417,Lonchura vana,AU,PASSERIFORMES,Estrildidae,Bondol arfak
9418,Lonchura nevermanni,AU,PASSERIFORMES,Estrildidae,Bondol topi-putih
9419,Lonchura caniceps,AU,PASSERIFORMES,Estrildidae,Grey-headed Mannikin
9420,Lonchura spectabilis,AU,PASSERIFORMES,Estrildidae,Bondol buba
9421,Lonchura forbesi,AU,PASSERIFORMES,Estrildidae,Forbes's Mannikin
9422,Lonchura hunsteini,AU,PASSERIFORMES,Estrildidae,Mottled Mannikin
9423,Lonchura nigerrima,AU,PASSERIFORMES,Estrildidae,New Hanover Mannikin
9424,Lonchura flaviprymna,AU,PASSERIFORMES,Estrildidae,Yellow-rumped Mannikin
9425,Lonchura quinticolor,AU,PASSERIFORMES,Estrildidae,Bondol pancawarna
9426,Lonchura castaneothorax,AU,PASSERIFORMES,Estrildidae,Bondol dada-coklat
9427,Lonchura stygia,AU,PASSERIFORMES,Estrildidae,Bondol hitam
9428,Lonchura melaena,AU,PASSERIFORMES,Estrildidae,Buff-bellied Mannikin
9429,Chloebia gouldiae,AU,PASSERIFORMES,Estrildidae,Gouldian Finch
9430,Erythrura prasina,OR,PASSERIFORMES,Estrildidae,Bondol-hijau binglis
9431,Erythrura viridifacies,OR,PASSERIFORMES,Estrildidae,Green-faced Parrotfinch
9432,Erythrura hyperythra,"OR, AU",PASSERIFORMES,Estrildidae,Bondol-hijau dada-merah
9433,Erythrura psittacea,AU,PASSERIFORMES,Estrildidae,Red-throated Parrotfinch
9434,Erythrura pealii,PO,PASSERIFORMES,Estrildidae,Fiji Parrotfinch
9435,Erythrura regia,PO,PASSERIFORMES,Estrildidae,Royal Parrotfinch
9436,Erythrura cyaneovirens,PO,PASSERIFORMES,Estrildidae,Red-headed Parrotfinch
9437,Erythrura kleinschmidti,PO,PASSERIFORMES,Estrildidae,Pink-billed Parrotfinch
9438,Erythrura tricolor,AU,PASSERIFORMES,Estrildidae,Bondol-hijau triwarna
9439,Erythrura coloria,OR,PASSERIFORMES,Estrildidae,Red-eared Parrotfinch
9440,Erythrura papuana,AU,PASSERIFORMES,Estrildidae,Bondol-hijau papua
9441,Erythrura trichroa,AU,PASSERIFORMES,Estrildidae,Bondol-hijau muka-biru
9442,Nesocharis shelleyi,AF,PASSERIFORMES,Estrildidae,Shelley's Oliveback
9443,Nesocharis ansorgei,AF,PASSERIFORMES,Estrildidae,White-collared Oliveback
9444,Coccopygia quartinia,AF,PASSERIFORMES,Estrildidae,Yellow-bellied Waxbill
9445,Coccopygia bocagei,AF,PASSERIFORMES,Estrildidae,Angola Waxbill
9446,Coccopygia melanotis,AF,PASSERIFORMES,Estrildidae,Swee Waxbill
9447,Mandingoa nitidula,AF,PASSERIFORMES,Estrildidae,Green Twinspot
9448,Cryptospiza shelleyi,AF,PASSERIFORMES,Estrildidae,Shelley's Crimsonwing
9449,Cryptospiza jacksoni,AF,PASSERIFORMES,Estrildidae,Dusky Crimsonwing
9450,Cryptospiza salvadorii,AF,PASSERIFORMES,Estrildidae,Abyssinian Crimsonwing
9451,Cryptospiza reichenovii,AF,PASSERIFORMES,Estrildidae,Red-faced Crimsonwing
9452,Parmoptila rubrifrons,AF,PASSERIFORMES,Estrildidae,Red-fronted Antpecker
9453,Parmoptila woodhousei,AF,PASSERIFORMES,Estrildidae,Woodhouse's Antpecker
9454,Parmoptila jamesoni,AF,PASSERIFORMES,Estrildidae,Jameson's Antpecker
9455,Nigrita fusconotus,AF,PASSERIFORMES,Estrildidae,White-breasted Nigrita
9456,Nigrita bicolor,AF,PASSERIFORMES,Estrildidae,Chestnut-breasted Nigrita
9457,Nigrita canicapillus,AF,PASSERIFORMES,Estrildidae,Grey-headed Nigrita
9458,Nigrita luteifrons,AF,PASSERIFORMES,Estrildidae,Pale-fronted Nigrita
9459,Delacourella capistrata,AF,PASSERIFORMES,Estrildidae,Grey-headed Oliveback
9460,Brunhilda charmosyna,AF,PASSERIFORMES,Estrildidae,Black-cheeked Waxbill
9461,Brunhilda erythronotos,AF,PASSERIFORMES,Estrildidae,Black-faced Waxbill
9462,Glaucestrilda caerulescens,AF,PASSERIFORMES,Estrildidae,Lavender Waxbill
9463,Glaucestrilda perreini,AF,PASSERIFORMES,Estrildidae,Grey Waxbill
9464,Glaucestrilda thomensis,AF,PASSERIFORMES,Estrildidae,Cinderella Waxbill
9465,Estrilda nonnula,AF,PASSERIFORMES,Estrildidae,Black-crowned Waxbill
9466,Estrilda atricapilla,AF,PASSERIFORMES,Estrildidae,Black-headed Waxbill
9467,Estrilda kandti,AF,PASSERIFORMES,Estrildidae,Kandt's Waxbill
9468,Estrilda melpoda,AF,PASSERIFORMES,Estrildidae,Orange-cheeked Waxbill
9469,Estrilda poliopareia,AF,PASSERIFORMES,Estrildidae,Anambra Waxbill
9470,Estrilda paludicola,AF,PASSERIFORMES,Estrildidae,Fawn-breasted Waxbill
9471,Estrilda astrild,AF,PASSERIFORMES,Estrildidae,Common Waxbill
9472,Estrilda nigriloris,AF,PASSERIFORMES,Estrildidae,Black-lored Waxbill
9473,Estrilda troglodytes,AF,PASSERIFORMES,Estrildidae,Black-rumped Waxbill
9474,Estrilda rhodopyga,AF,PASSERIFORMES,Estrildidae,Crimson-rumped Waxbill
9475,Estrilda rufibarba,PAL,PASSERIFORMES,Estrildidae,Arabian Waxbill
9476,Ortygospiza atricollis,AF,PASSERIFORMES,Estrildidae,Quailfinch
9477,Paludipasser locustella,AF,PASSERIFORMES,Estrildidae,Locust Finch
9478,Amadina fasciata,AF,PASSERIFORMES,Estrildidae,Cut-throat Finch
9479,Amadina erythrocephala,AF,PASSERIFORMES,Estrildidae,Red-headed Finch
9480,Amandava formosa,OR,PASSERIFORMES,Estrildidae,Green Avadavat
9481,Amandava subflava,"AF, PAL",PASSERIFORMES,Estrildidae,Orange-breasted Waxbill
9482,Amandava amandava,OR,PASSERIFORMES,Estrildidae,Pipit benggala
9483,Granatina ianthinogaster,AF,PASSERIFORMES,Estrildidae,Purple Grenadier
9484,Granatina granatina,AF,PASSERIFORMES,Estrildidae,Violet-eared Waxbill
9485,Uraeginthus angolensis,AF,PASSERIFORMES,Estrildidae,Blue Waxbill
9486,Uraeginthus bengalus,AF,PASSERIFORMES,Estrildidae,Red-cheeked Cordon-bleu
9487,Uraeginthus cyanocephalus,AF,PASSERIFORMES,Estrildidae,Blue-capped Cordon-bleu
9488,Spermophaga poliogenys,AF,PASSERIFORMES,Estrildidae,Grant's Bluebill
9489,Spermophaga haematina,AF,PASSERIFORMES,Estrildidae,Western Bluebill
9490,Spermophaga ruficapilla,AF,PASSERIFORMES,Estrildidae,Red-headed Bluebill
9491,Pyrenestes minor,AF,PASSERIFORMES,Estrildidae,Lesser Seedcracker
9492,Pyrenestes sanguineus,AF,PASSERIFORMES,Estrildidae,Crimson Seedcracker
9493,Pyrenestes ostrinus,AF,PASSERIFORMES,Estrildidae,Black-bellied Seedcracker
9494,Pytilia melba,AF,PASSERIFORMES,Estrildidae,Green-winged Pytilia
9495,Pytilia afra,AF,PASSERIFORMES,Estrildidae,Orange-winged Pytilia
9496,Pytilia phoenicoptera,AF,PASSERIFORMES,Estrildidae,Red-winged Pytilia
9497,Pytilia lineata,AF,PASSERIFORMES,Estrildidae,Red-billed Pytilia
9498,Pytilia hypogrammica,AF,PASSERIFORMES,Estrildidae,Yellow-winged Pytilia
9499,Euschistospiza dybowskii,AF,PASSERIFORMES,Estrildidae,Dybowski's Twinspot
9500,Euschistospiza cinereovinacea,AF,PASSERIFORMES,Estrildidae,Dusky Twinspot
9501,Hypargos niveoguttatus,AF,PASSERIFORMES,Estrildidae,Red-throated Twinspot
9502,Hypargos margaritatus,AF,PASSERIFORMES,Estrildidae,Pink-throated Twinspot
9503,Clytospiza monteiri,AF,PASSERIFORMES,Estrildidae,Brown Twinspot
9504,Lagonosticta senegala,AF,PASSERIFORMES,Estrildidae,Red-billed Firefinch
9505,Lagonosticta rubricata,AF,PASSERIFORMES,Estrildidae,African Firefinch
9506,Lagonosticta rhodopareia,AF,PASSERIFORMES,Estrildidae,Jameson's Firefinch
9507,Lagonosticta virata,AF,PASSERIFORMES,Estrildidae,Mali Firefinch
9508,Lagonosticta sanguinodorsalis,AF,PASSERIFORMES,Estrildidae,Rock Firefinch
9509,Lagonosticta umbrinodorsalis,AF,PASSERIFORMES,Estrildidae,Chad Firefinch
9510,Lagonosticta rara,AF,PASSERIFORMES,Estrildidae,Black-bellied Firefinch
9511,Lagonosticta rufopicta,AF,PASSERIFORMES,Estrildidae,Bar-breasted Firefinch
9512,Lagonosticta nitidula,AF,PASSERIFORMES,Estrildidae,Brown Firefinch
9513,Lagonosticta larvata,AF,PASSERIFORMES,Estrildidae,Black-faced Firefinch
9514,Vidua chalybeata,AF,PASSERIFORMES,Viduidae,Village Indigobird
9515,Vidua purpurascens,AF,PASSERIFORMES,Viduidae,Purple Indigobird
9516,Vidua raricola,AF,PASSERIFORMES,Viduidae,Jambandu Indigobird
9517,Vidua larvaticola,AF,PASSERIFORMES,Viduidae,Barka Indigobird
9518,Vidua funerea,AF,PASSERIFORMES,Viduidae,Dusky Indigobird
9519,Vidua codringtoni,AF,PASSERIFORMES,Viduidae,Zambezi Indigobird
9520,Vidua wilsoni,AF,PASSERIFORMES,Viduidae,Wilson's Indigobird
9521,Vidua nigeriae,AF,PASSERIFORMES,Viduidae,Quailfinch Indigobird
9522,Vidua maryae,AF,PASSERIFORMES,Viduidae,Jos Plateau Indigobird
9523,Vidua camerunensis,AF,PASSERIFORMES,Viduidae,Cameroon Indigobird
9524,Vidua macroura,AF,PASSERIFORMES,Viduidae,Pin-tailed Whydah
9525,Vidua hypocherina,AF,PASSERIFORMES,Viduidae,Steel-blue Whydah
9526,Vidua fischeri,AF,PASSERIFORMES,Viduidae,Straw-tailed Whydah
9527,Vidua regia,AF,PASSERIFORMES,Viduidae,Shaft-tailed Whydah
9528,Vidua paradisaea,AF,PASSERIFORMES,Viduidae,Long-tailed Paradise Whydah
9529,Vidua orientalis,AF,PASSERIFORMES,Viduidae,Sahel Paradise Whydah
9530,Vidua interjecta,AF,PASSERIFORMES,Viduidae,Exclamatory Paradise Whydah
9531,Vidua togoensis,AF,PASSERIFORMES,Viduidae,Togo Paradise Whydah
9532,Vidua obtusa,AF,PASSERIFORMES,Viduidae,Broad-tailed Paradise Whydah
9533,Anomalospiza imberbis,AF,PASSERIFORMES,Viduidae,Cuckoo-finch
9534,Peucedramus taeniatus,"NA, MA",PASSERIFORMES,Peucedramidae,Olive Warbler
9535,Prunella collaris,PAL,PASSERIFORMES,Prunellidae,Alpine Accentor
9536,Prunella himalayana,PAL,PASSERIFORMES,Prunellidae,Altai Accentor
9537,Prunella rubeculoides,OR,PASSERIFORMES,Prunellidae,Robin Accentor
9538,Prunella strophiata,OR,PASSERIFORMES,Prunellidae,Rufous-breasted Accentor
9539,Prunella montanella,PAL,PASSERIFORMES,Prunellidae,Siberian Accentor
9540,Prunella fulvescens,PAL,PASSERIFORMES,Prunellidae,Brown Accentor
9541,Prunella ocularis,PAL,PASSERIFORMES,Prunellidae,Radde's Accentor
9542,Prunella atrogularis,PAL,PASSERIFORMES,Prunellidae,Black-throated Accentor
9543,Prunella koslowi,PAL,PASSERIFORMES,Prunellidae,Kozlov's Accentor
9544,Prunella modularis,PAL,PASSERIFORMES,Prunellidae,Dunnock
9545,Prunella rubida,PAL,PASSERIFORMES,Prunellidae,Japanese Accentor
9546,Prunella immaculata,OR,PASSERIFORMES,Prunellidae,Maroon-backed Accentor
9547,Dendronanthus indicus,PAL,PASSERIFORMES,Motacillidae,Kicuit hutan
9548,Motacilla flava,PAL,PASSERIFORMES,Motacillidae,Kicuit kerbau
9549,Motacilla tschutschensis,"PAL, NA",PASSERIFORMES,Motacillidae,Kicuit kerbau
9550,Motacilla citreola,PAL,PASSERIFORMES,Motacillidae,Citrine Wagtail
9551,Motacilla capensis,AF,PASSERIFORMES,Motacillidae,Cape Wagtail
9552,Motacilla flaviventris,AF,PASSERIFORMES,Motacillidae,Madagascar Wagtail
9553,Motacilla bocagii,AF,PASSERIFORMES,Motacillidae,Sao Tome Shorttail
9554,Motacilla cinerea,"PAL, OR",PASSERIFORMES,Motacillidae,Kicuit batu
9555,Motacilla clara,AF,PASSERIFORMES,Motacillidae,Mountain Wagtail
9556,Motacilla alba,PAL,PASSERIFORMES,Motacillidae,White Wagtail
9557,Motacilla aguimp,AF,PASSERIFORMES,Motacillidae,African Pied Wagtail
9558,Motacilla samveasnae,OR,PASSERIFORMES,Motacillidae,Mekong Wagtail
9559,Motacilla grandis,PAL,PASSERIFORMES,Motacillidae,Japanese Wagtail
9560,Motacilla maderaspatensis,OR,PASSERIFORMES,Motacillidae,White-browed Wagtail
9561,Tmetothylacus tenellus,AF,PASSERIFORMES,Motacillidae,Golden Pipit
