,IOC,Breeding Range,Order,Family,Russian
7986,Schoeniparus rufogularis,OR,PASSERIFORMES,Pellorneidae,Рыжегорлая альциппа
7987,Schoeniparus dubius,OR,PASSERIFORMES,Pellorneidae,Оливковобокая альциппа
7988,Schoeniparus brunneus,OR,PASSERIFORMES,Pellorneidae,Красношапочная альциппа
7989,Pellorneum ruficeps,OR,PASSERIFORMES,Pellorneidae,Пятнистогрудая земляная тимелия
7990,Pellorneum fuscocapillus,OR,PASSERIFORMES,Pellorneidae,Бурошапочная земляная тимелия
7991,Pellorneum palustre,OR,PASSERIFORMES,Pellorneidae,Болотная земляная тимелия
7992,Pellorneum nigrocapitatum,OR,PASSERIFORMES,Pellorneidae,Malayan Black-capped Babbler
7993,Pellorneum capistratum,OR,PASSERIFORMES,Pellorneidae,Черношапочная земляная тимелия
7994,Pellorneum capistratoides,OR,PASSERIFORMES,Pellorneidae,Bornean Black-capped Babbler
7995,Pellorneum malaccense,OR,PASSERIFORMES,Pellorneidae,Короткохвостая мышиная тимелия
7996,Pellorneum cinereiceps,OR,PASSERIFORMES,Pellorneidae,Пепельноголовая мышиная тимелия
7997,Pellorneum albiventre,OR,PASSERIFORMES,Pellorneidae,Белобрюхая земляная тимелия
7998,Pellorneum tickelli,OR,PASSERIFORMES,Pellorneidae,Рыжегрудая мышиная тимелия
7999,Pellorneum buettikoferi,OR,PASSERIFORMES,Pellorneidae,Суматранская мышиная тимелия
8000,Pellorneum pyrrogenys,OR,PASSERIFORMES,Pellorneidae,Рыжешёкая мышиная тимелия
8001,Pellorneum rostratum,OR,PASSERIFORMES,Pellorneidae,Мангровая мышиная тимелия
8002,Pellorneum bicolor,OR,PASSERIFORMES,Pellorneidae,Двуцветная мышиная тимелия
8003,Pellorneum celebense,AU,PASSERIFORMES,Pellorneidae,Белогорлая мышиная тимелия
8004,Laticilla burnesii,OR,PASSERIFORMES,Pellorneidae,Длиннохвостая травянка
8005,Laticilla cinerascens,OR,PASSERIFORMES,Pellorneidae,Болотная травянка
8006,Illadopsis fulvescens,AF,PASSERIFORMES,Pellorneidae,Буробрюхая мышиная тимелия
8007,Illadopsis rufipennis,AF,PASSERIFORMES,Pellorneidae,Серощёкая мышиная тимелия
8008,Illadopsis distans,AF,PASSERIFORMES,Pellorneidae,Tanzanian Illadopsis
8009,Illadopsis pyrrhoptera,AF,PASSERIFORMES,Pellorneidae,Горная мышиная тимелия
8010,Illadopsis cleaveri,AF,PASSERIFORMES,Pellorneidae,Черношапочная мышиная тимелия
8011,Illadopsis albipectus,AF,PASSERIFORMES,Pellorneidae,Чешуегрудая мышиная тимелия
8012,Illadopsis turdina,AF,PASSERIFORMES,Pellorneidae,Дроздовый бабблер
8013,Illadopsis puveli,AF,PASSERIFORMES,Pellorneidae,Большеногая мышиная тимелия
8014,Illadopsis rufescens,AF,PASSERIFORMES,Pellorneidae,Ржавчатокрылая мышиная тимелия
8015,Kenopia striata,OR,PASSERIFORMES,Pellorneidae,Кенопа
8016,Malacocincla abbotti,OR,PASSERIFORMES,Pellorneidae,Краснохвостая мышиная тимелия
8017,Malacocincla sepiaria,OR,PASSERIFORMES,Pellorneidae,Таиландская мышиная тимелия
8018,Malacocincla perspicillata,OR,PASSERIFORMES,Pellorneidae,Чернобровая мышиная тимелия
8019,Gypsophila crassa,OR,PASSERIFORMES,Pellorneidae,Бледногорлая крапивниковая тимелия
8020,Gypsophila brevicaudata,OR,PASSERIFORMES,Pellorneidae,Короткохвостая крапивниковая тимелия
8021,Gypsophila annamensis,OR,PASSERIFORMES,Pellorneidae,Annam Limestone Babbler
8022,Gypsophila calcicola,OR,PASSERIFORMES,Pellorneidae,Rufous Limestone Babbler
8023,Gypsophila crispifrons,OR,PASSERIFORMES,Pellorneidae,Тёмная крапивниковая тимелия
8024,Gypsophila rufipectus,OR,PASSERIFORMES,Pellorneidae,Суматранская крапивниковая тимелия
8025,Ptilocichla mindanensis,OR,PASSERIFORMES,Pellorneidae,Филиппинская волосатая тимелия
8026,Ptilocichla leucogrammica,OR,PASSERIFORMES,Pellorneidae,Индонезийская волосатая тимелия
8027,Ptilocichla falcata,OR,PASSERIFORMES,Pellorneidae,Палаванская волосатая тимелия
8028,Napothera epilepidota,OR,PASSERIFORMES,Pellorneidae,Пестрогрудая подкоренница
8029,Napothera malacoptila,OR,PASSERIFORMES,Pellorneidae,Ассамская серпоклювка
8030,Napothera albostriata,OR,PASSERIFORMES,Pellorneidae,Суматранская серпоклювка
8031,Napothera pasquieri,OR,PASSERIFORMES,Pellorneidae,Белогорлая серпоклювка
8032,Napothera naungmungensis,OR,PASSERIFORMES,Pellorneidae,Качинская серпоклювка
8033,Napothera danjoui,OR,PASSERIFORMES,Pellorneidae,Вьетнамская серпоклювка
8034,Alcippe poioicephala,OR,PASSERIFORMES,Alcippeidae,Сероголовая альциппа
8035,Alcippe grotei,OR,PASSERIFORMES,Alcippeidae,Чернобровая альциппа
8036,Alcippe brunneicauda,OR,PASSERIFORMES,Alcippeidae,Бурохвостая альциппа
8037,Alcippe pyrrhoptera,OR,PASSERIFORMES,Alcippeidae,Красноспинная альциппа
8038,Alcippe nipalensis,OR,PASSERIFORMES,Alcippeidae,Белоглазая альциппа
8039,Alcippe davidi,OR,PASSERIFORMES,Alcippeidae,Сычуаньская альциппа
8040,Alcippe hueti,OR,PASSERIFORMES,Alcippeidae,Китайская альциппа
8041,Alcippe morrisonia,OR,PASSERIFORMES,Alcippeidae,Серощёкая альциппа
8042,Alcippe fratercula,OR,PASSERIFORMES,Alcippeidae,Юннаньская альциппа
8043,Alcippe peracensis,OR,PASSERIFORMES,Alcippeidae,Малайская альциппа
8044,Grammatoptila striata,OR,PASSERIFORMES,Leiothrichidae,Исчерченная кустарница
8045,Cutia nipalensis,OR,PASSERIFORMES,Leiothrichidae,Гималайская кутия
8046,Cutia legalleni,OR,PASSERIFORMES,Leiothrichidae,Вьетнамская кутия
8047,Laniellus langbianis,OR,PASSERIFORMES,Leiothrichidae,Сероголовая кроция
8048,Laniellus albonotatus,OR,PASSERIFORMES,Leiothrichidae,Пятнистая кроция
8049,Trochalopteron subunicolor,OR,PASSERIFORMES,Leiothrichidae,Золотокрылая кустарница
8050,Trochalopteron austeni,OR,PASSERIFORMES,Leiothrichidae,Бурошапочная кустарница
8051,Trochalopteron squamatum,OR,PASSERIFORMES,Leiothrichidae,Синекрылая кустарница
8052,Trochalopteron lineatum,PAL,PASSERIFORMES,Leiothrichidae,Полосатая кустарница
8053,Trochalopteron imbricatum,OR,PASSERIFORMES,Leiothrichidae,Бутанская кустарница
8054,Trochalopteron virgatum,OR,PASSERIFORMES,Leiothrichidae,Пёстрая кустарница
8055,Trochalopteron variegatum,PAL,PASSERIFORMES,Leiothrichidae,Пестрокрылая кустарница
8056,Trochalopteron affine,OR,PASSERIFORMES,Leiothrichidae,Чернолицая кустарница
8057,Trochalopteron morrisonianum,OR,PASSERIFORMES,Leiothrichidae,Белоусая кустарница
8058,Trochalopteron henrici,PAL,PASSERIFORMES,Leiothrichidae,Мышиная кустарница
8059,Trochalopteron elliotii,PAL,PASSERIFORMES,Leiothrichidae,Желтокрылая кустарница
8060,Trochalopteron milnei,OR,PASSERIFORMES,Leiothrichidae,Краснохвостая кустарница
8061,Trochalopteron yersini,OR,PASSERIFORMES,Leiothrichidae,Ошейниковая кустарница
8062,Trochalopteron erythrocephalum,OR,PASSERIFORMES,Leiothrichidae,Красноголовая кустарница
8063,Trochalopteron chrysopterum,OR,PASSERIFORMES,Leiothrichidae,Ассамская кустарница
8064,Trochalopteron formosum,OR,PASSERIFORMES,Leiothrichidae,Цветная кустарница
8065,Trochalopteron melanostigma,OR,PASSERIFORMES,Leiothrichidae,Серебряноухая кустарница
8066,Trochalopteron ngoclinhense,OR,PASSERIFORMES,Leiothrichidae,Контумская кустарница
8067,Trochalopteron peninsulae,OR,PASSERIFORMES,Leiothrichidae,Малаккская кустарница
8068,Montecincla jerdoni,OR,PASSERIFORMES,Leiothrichidae,Серогрудая кустарница
8069,Montecincla cachinnans,OR,PASSERIFORMES,Leiothrichidae,Коричневогрудая кустарница
8070,Montecincla fairbanki,OR,PASSERIFORMES,Leiothrichidae,Керальская кустарница
8071,Montecincla meridionalis,OR,PASSERIFORMES,Leiothrichidae,Траванкорская кустарница
8072,Heterophasia picaoides,OR,PASSERIFORMES,Leiothrichidae,Длиннохвостая цветная тимелия
8073,Heterophasia auricularis,OR,PASSERIFORMES,Leiothrichidae,Белоухая цветная тимелия
8074,Heterophasia capistrata,OR,PASSERIFORMES,Leiothrichidae,Черношапочная цветная тимелия
8075,Heterophasia pulchella,OR,PASSERIFORMES,Leiothrichidae,Синеголовая цветная тимелия
8076,Heterophasia gracilis,OR,PASSERIFORMES,Leiothrichidae,Серая цветная тимелия
8077,Heterophasia melanoleuca,OR,PASSERIFORMES,Leiothrichidae,Чёрно-белая цветная тимелия
8078,Heterophasia desgodinsi,OR,PASSERIFORMES,Leiothrichidae,Черноголовая цветная тимелия
8079,Actinodura nipalensis,OR,PASSERIFORMES,Leiothrichidae,Непальская сибия
8080,Actinodura morrisoniana,OR,PASSERIFORMES,Leiothrichidae,Тайваньская сибия
8081,Actinodura waldeni,OR,PASSERIFORMES,Leiothrichidae,Юньнаньская сибия
8082,Actinodura souliei,OR,PASSERIFORMES,Leiothrichidae,Тонкинская сибия
8083,Actinodura cyanouroptera,OR,PASSERIFORMES,Leiothrichidae,Синекрылая минла
8084,Actinodura strigula,OR,PASSERIFORMES,Leiothrichidae,Полосатогорлая минла
8085,Actinodura egertoni,OR,PASSERIFORMES,Leiothrichidae,Краснолобая сибия
8086,Actinodura ramsayi,OR,PASSERIFORMES,Leiothrichidae,Очковая сибия
8087,Actinodura sodangorum,OR,PASSERIFORMES,Leiothrichidae,Черноголовая сибия
8088,Leiothrix lutea,OR,PASSERIFORMES,Leiothrichidae,Обыкновенный лиотрикс
8089,Leiothrix argentauris,OR,PASSERIFORMES,Leiothrichidae,Белоухий лиотрикс
8090,Minla ignotincta,OR,PASSERIFORMES,Leiothrichidae,Краснохвостая минла
8091,Leioptila annectens,OR,PASSERIFORMES,Leiothrichidae,Красноспинная цветная тимелия
8092,Liocichla bugunorum,OR,PASSERIFORMES,Leiothrichidae,Бугунская лиоцихла
8093,Liocichla omeiensis,OR,PASSERIFORMES,Leiothrichidae,Омейская лиоцихла
8094,Liocichla steerii,OR,PASSERIFORMES,Leiothrichidae,Тайваньская лиоцихла
8095,Liocichla phoenicea,OR,PASSERIFORMES,Leiothrichidae,Карминнокрылая лиоцихла
8096,Liocichla ripponi,OR,PASSERIFORMES,Leiothrichidae,Краснолицая лиоцихла
8097,Argya malcolmi,OR,PASSERIFORMES,Leiothrichidae,Большая дроздовая тимелия
8098,Argya cinereifrons,OR,PASSERIFORMES,Leiothrichidae,Серолобая кустарница
8099,Argya longirostris,OR,PASSERIFORMES,Leiothrichidae,Тонкоклювая дроздовая тимелия
8100,Argya subrufa,OR,PASSERIFORMES,Leiothrichidae,Серолобая дроздовая тимелия
8101,Argya rufescens,OR,PASSERIFORMES,Leiothrichidae,Цейлонская дроздовая тимелия
8102,Argya striata,OR,PASSERIFORMES,Leiothrichidae,Полосатая дроздовая тимелия
8103,Argya affinis,OR,PASSERIFORMES,Leiothrichidae,Желтоклювая дроздовая тимелия
8104,Argya rubiginosa,AF,PASSERIFORMES,Leiothrichidae,Рыжая дроздовая тимелия
8105,Argya aylmeri,AF,PASSERIFORMES,Leiothrichidae,Чешуегрудая дроздовая тимелия
8106,Argya altirostris,PAL,PASSERIFORMES,Leiothrichidae,Камышовая дроздовая тимелия
8107,Argya huttoni,PAL,PASSERIFORMES,Leiothrichidae,Афганская дроздовая тимелия
8108,Argya caudata,OR,PASSERIFORMES,Leiothrichidae,Длиннохвостая дроздовая тимелия
8109,Argya fulva,AF,PASSERIFORMES,Leiothrichidae,Сахарская дроздовая тимелия
8110,Argya squamiceps,PAL,PASSERIFORMES,Leiothrichidae,Арабская дроздовая тимелия
8111,Argya earlei,OR,PASSERIFORMES,Leiothrichidae,Пёстрая дроздовая тимелия
8112,Argya gularis,OR,PASSERIFORMES,Leiothrichidae,Белогорлая дроздовая тимелия
8113,Turdoides nipalensis,OR,PASSERIFORMES,Leiothrichidae,Колючая дроздовая тимелия
8114,Turdoides atripennis,AF,PASSERIFORMES,Leiothrichidae,Бабблер-Капуцин
8115,Turdoides gilberti,AF,PASSERIFORMES,Leiothrichidae,Белогорлый скворцовый бабблер
8116,Turdoides chapini,AF,PASSERIFORMES,Leiothrichidae,Скворцовый бабблер Чапина
8117,Turdoides rufocinctus,AF,PASSERIFORMES,Leiothrichidae,Красноошейниковый скворцовый бабблер
8118,Turdoides plebejus,AF,PASSERIFORMES,Leiothrichidae,Суданская дроздовая тимелия
8119,Turdoides leucopygia,AF,PASSERIFORMES,Leiothrichidae,Белопоясничная дроздовая тимелия
8120,Turdoides hindei,AF,PASSERIFORMES,Leiothrichidae,Дроздовая тимелия Хайнда
8121,Turdoides squamulata,AF,PASSERIFORMES,Leiothrichidae,Чешуйчатая дроздовая тимелия
8122,Turdoides jardineii,AF,PASSERIFORMES,Leiothrichidae,Бурая дроздовая тимелия
8123,Turdoides gymnogenys,AF,PASSERIFORMES,Leiothrichidae,Голощёкая дроздовая тимелия
8124,Turdoides leucocephala,AF,PASSERIFORMES,Leiothrichidae,Белоголовая дроздовая тимелия
8125,Turdoides reinwardtii,AF,PASSERIFORMES,Leiothrichidae,Белоглазая дроздовая тимелия
8126,Turdoides tenebrosa,AF,PASSERIFORMES,Leiothrichidae,Береговая дроздовая тимелия
8127,Turdoides bicolor,AF,PASSERIFORMES,Leiothrichidae,Пегая дроздовая тимелия
8128,Turdoides hartlaubii,AF,PASSERIFORMES,Leiothrichidae,Ангольская дроздовая тимелия
8129,Turdoides sharpei,AF,PASSERIFORMES,Leiothrichidae,Дроздовая тимелия Шарпа
8130,Turdoides melanops,AF,PASSERIFORMES,Leiothrichidae,Чернолицая дроздовая тимелия
8131,Turdoides hypoleuca,AF,PASSERIFORMES,Leiothrichidae,Бронзовая дроздовая тимелия
8132,Garrulax merulinus,OR,PASSERIFORMES,Leiothrichidae,Пятнистая кустарница
8133,Garrulax annamensis,OR,PASSERIFORMES,Leiothrichidae,Рыжегрудая кустарница
8134,Garrulax canorus,OR,PASSERIFORMES,Leiothrichidae,Очковая кустарница
8135,Garrulax taewanus,OR,PASSERIFORMES,Leiothrichidae,Тайваньская кустарница
8136,Garrulax monileger,OR,PASSERIFORMES,Leiothrichidae,Ожерелковая кустарница
8137,Garrulax rufifrons,OR,PASSERIFORMES,Leiothrichidae,Краснолобая кустарница
8138,Garrulax palliatus,OR,PASSERIFORMES,Leiothrichidae,Шиферная кустарница
8139,Garrulax leucolophus,OR,PASSERIFORMES,Leiothrichidae,Белохохлая кустарница
8140,Garrulax bicolor,OR,PASSERIFORMES,Leiothrichidae,Суматранская кустарница
8141,Garrulax milleti,OR,PASSERIFORMES,Leiothrichidae,Капюшонная кустарница
8142,Garrulax strepitans,OR,PASSERIFORMES,Leiothrichidae,Белошейная кустарница
8143,Garrulax ferrarius,OR,PASSERIFORMES,Leiothrichidae,Камбоджийская кустарница
8144,Garrulax maesi,OR,PASSERIFORMES,Leiothrichidae,Серая кустарница
8145,Garrulax castanotis,OR,PASSERIFORMES,Leiothrichidae,Каштановошёкая кустарница
8146,Ianthocincla sukatschewi,PAL,PASSERIFORMES,Leiothrichidae,Кустарница Сукачёва
8147,Ianthocincla rufogularis,OR,PASSERIFORMES,Leiothrichidae,Рыжегорлая кустарница
8148,Ianthocincla konkakinhensis,OR,PASSERIFORMES,Leiothrichidae,Рыжеухая кустарница
8149,Ianthocincla cineracea,OR,PASSERIFORMES,Leiothrichidae,Пепельная кустарница
8150,Ianthocincla ocellata,OR,PASSERIFORMES,Leiothrichidae,Лесная кустарница
8151,Ianthocincla maxima,PAL,PASSERIFORMES,Leiothrichidae,Большая кустарница
8152,Ianthocincla bieti,OR,PASSERIFORMES,Leiothrichidae,Жемчужногрудая кустарница
8153,Ianthocincla lunulata,PAL,PASSERIFORMES,Leiothrichidae,Волнистая кустарница
8154,Pterorhinus delesserti,OR,PASSERIFORMES,Leiothrichidae,Рыжебокая кустарница
8155,Pterorhinus gularis,OR,PASSERIFORMES,Leiothrichidae,Желтогрудая кустарница
8156,Pterorhinus vassali,OR,PASSERIFORMES,Leiothrichidae,Черноухая кустарница
8157,Pterorhinus galbanus,OR,PASSERIFORMES,Leiothrichidae,Желтобрюхая кустарница
8158,Pterorhinus courtoisi,OR,PASSERIFORMES,Leiothrichidae,Синеголовая кустарница
8159,Pterorhinus mitratus,OR,PASSERIFORMES,Leiothrichidae,Каштановоголовая кустарница
8160,Pterorhinus treacheri,OR,PASSERIFORMES,Leiothrichidae,Шиферная кустарница
8161,Pterorhinus ruficollis,OR,PASSERIFORMES,Leiothrichidae,Кустарница-красношейка
8162,Pterorhinus nuchalis,OR,PASSERIFORMES,Leiothrichidae,Манишковая кустарница
8163,Pterorhinus chinensis,OR,PASSERIFORMES,Leiothrichidae,Китайская кустарница
8164,Pterorhinus sannio,OR,PASSERIFORMES,Leiothrichidae,Белощёкая кустарница
8165,Pterorhinus perspicillatus,OR,PASSERIFORMES,Leiothrichidae,Масковая кустарница
8166,Pterorhinus pectoralis,OR,PASSERIFORMES,Leiothrichidae,Галстучная кустарница
8167,Pterorhinus davidi,PAL,PASSERIFORMES,Leiothrichidae,Кустарница Давида
8168,Pterorhinus woodi,OR,PASSERIFORMES,Leiothrichidae,Певчая кустарница
8169,Pterorhinus lanceolatus,OR,PASSERIFORMES,Leiothrichidae,Китайский бабакс
8170,Pterorhinus waddelli,PAL,PASSERIFORMES,Leiothrichidae,Большой бабакс
8171,Pterorhinus koslowi,PAL,PASSERIFORMES,Leiothrichidae,Бабакс Козлова
8172,Pterorhinus albogularis,OR,PASSERIFORMES,Leiothrichidae,Белогорлая кустарница
8173,Pterorhinus ruficeps,OR,PASSERIFORMES,Leiothrichidae,Рыжешапочная кустарница
8174,Pterorhinus caerulatus,OR,PASSERIFORMES,Leiothrichidae,Серобокая кустарница
8175,Pterorhinus berthemyi,OR,PASSERIFORMES,Leiothrichidae,Буланая кустарница
8176,Pterorhinus poecilorhynchus,OR,PASSERIFORMES,Leiothrichidae,Рыжешейная кустарница
8177,Modulatrix stictigula,AF,PASSERIFORMES,Modulatricidae,Бюльбюлевый дрозд
8178,Arcanator orostruthus,AF,PASSERIFORMES,Modulatricidae,Горный бурый бюльбюль
8179,Kakamega poliothorax,AF,PASSERIFORMES,Modulatricidae,Серобрюхая мышиная тимелия
8180,Promerops cafer,AF,PASSERIFORMES,Promeropidae,Капский сахарный медосос
8181,Promerops gurneyi,AF,PASSERIFORMES,Promeropidae,Родезийский сахарный медосос
8182,Irena puella,OR,PASSERIFORMES,Irenidae,Голубая ирена
8183,Irena tweeddalii,OR,PASSERIFORMES,Irenidae,Palawan Fairy-bluebird
8184,Irena cyanogastra,OR,PASSERIFORMES,Irenidae,Кобальтовая ирена
8185,Regulus ignicapilla,PAL,PASSERIFORMES,Regulidae,Красноголовый королёк
8186,Regulus madeirensis,PAL,PASSERIFORMES,Regulidae,Мадейрский королёк
8187,Regulus satrapa,"NA, MA",PASSERIFORMES,Regulidae,Золотоголовый королёк
8188,Regulus goodfellowi,OR,PASSERIFORMES,Regulidae,Тайваньский королёк
8189,Regulus regulus,PAL,PASSERIFORMES,Regulidae,Желтоголовый королёк
8190,Elachura formosa,OR,PASSERIFORMES,Elachuridae,Пятнистый крапивниковый бабблер
8191,Hyliota flavigaster,AF,PASSERIFORMES,Hyliotidae,Желтобрюхая хилиота
8192,Hyliota australis,AF,PASSERIFORMES,Hyliotidae,Южная хилиота
8193,Hyliota usambara,AF,PASSERIFORMES,Hyliotidae,Узамбарская хилиота
8194,Hyliota violacea,AF,PASSERIFORMES,Hyliotidae,Фиолетовая хилиота
8195,Campylorhynchus albobrunneus,"MA, SA",PASSERIFORMES,Troglodytidae,Белоголовый кактусовый крапивник
8196,Campylorhynchus zonatus,"MA, SA",PASSERIFORMES,Troglodytidae,Тигровый кактусовый крапивник
8197,Campylorhynchus megalopterus,MA,PASSERIFORMES,Troglodytidae,Серополосый кактусовый крапивник
8198,Campylorhynchus nuchalis,SA,PASSERIFORMES,Troglodytidae,Полосчатый кактусовый крапивник
8199,Campylorhynchus fasciatus,SA,PASSERIFORMES,Troglodytidae,Мраморный кактусовый крапивник
8200,Campylorhynchus chiapensis,MA,PASSERIFORMES,Troglodytidae,Большой кактусовый крапивник
8201,Campylorhynchus griseus,SA,PASSERIFORMES,Troglodytidae,Белобровый кактусовый крапивник
8202,Campylorhynchus rufinucha,MA,PASSERIFORMES,Troglodytidae,Рыжешейный кактусовый крапивник
8203,Campylorhynchus humilis,MA,PASSERIFORMES,Troglodytidae,Sclater's Wren
8204,Campylorhynchus capistratus,MA,PASSERIFORMES,Troglodytidae,Rufous-backed Wren
8205,Campylorhynchus gularis,MA,PASSERIFORMES,Troglodytidae,Мексиканский кактусовый крапивник
8206,Campylorhynchus jocosus,MA,PASSERIFORMES,Troglodytidae,Разноцветный кактусовый крапивник
8207,Campylorhynchus yucatanicus,MA,PASSERIFORMES,Troglodytidae,Юкатанский кактусовый крапивник
8208,Campylorhynchus brunneicapillus,"NA, MA",PASSERIFORMES,Troglodytidae,Обыкновенный кактусовый крапивник
8209,Campylorhynchus turdinus,SA,PASSERIFORMES,Troglodytidae,Дроздовидный кактусовый крапивник
8210,Odontorchilus branickii,SA,PASSERIFORMES,Troglodytidae,Шиферный зубчатоклювый крапивник
8211,Odontorchilus cinereus,SA,PASSERIFORMES,Troglodytidae,Мышиный зубчатоклювый крапивник
8212,Salpinctes obsoletus,"NA, MA",PASSERIFORMES,Troglodytidae,Скальный длинноклювый крапивник
8213,Catherpes mexicanus,"NA, MA",PASSERIFORMES,Troglodytidae,Каньонный длинноклювый крапивник
8214,Hylorchilus sumichrasti,MA,PASSERIFORMES,Troglodytidae,Тонкоклювый крапивник
8215,Hylorchilus navai,MA,PASSERIFORMES,Troglodytidae,Тёмный крапивник
8216,Cinnycerthia unirufa,SA,PASSERIFORMES,Troglodytidae,Андский каштановый крапивник
8217,Cinnycerthia olivascens,SA,PASSERIFORMES,Troglodytidae,Оливковый каштановый крапивник
8218,Cinnycerthia peruana,SA,PASSERIFORMES,Troglodytidae,Перуанский каштановый крапивник
8219,Cinnycerthia fulva,SA,PASSERIFORMES,Troglodytidae,Бурый каштановый крапивник
8220,Cistothorus meridae,SA,PASSERIFORMES,Troglodytidae,Белобровый короткоклювый крапивник
8221,Cistothorus apolinari,SA,PASSERIFORMES,Troglodytidae,Большой короткоклювый крапивник
8222,Cistothorus platensis,"MA, SA",PASSERIFORMES,Troglodytidae,Травяной короткоклювый крапивник
8223,Cistothorus palustris,"NA, MA",PASSERIFORMES,Troglodytidae,Болотный короткоклювый крапивник
8224,Thryomanes bewickii,"NA, MA",PASSERIFORMES,Troglodytidae,Длиннохвостый крапивник Бьюика
8225,Pheugopedius atrogularis,MA,PASSERIFORMES,Troglodytidae,Черногорлый кустарниковый крапивник
8226,Pheugopedius spadix,"MA, SA",PASSERIFORMES,Troglodytidae,Темноголовый кустарниковый крапивник
8227,Pheugopedius fasciatoventris,"MA, SA",PASSERIFORMES,Troglodytidae,Чернобрюхий кустарниковый крапивник
8228,Pheugopedius euophrys,SA,PASSERIFORMES,Troglodytidae,Бурохвостый кустарниковый крапивник
8229,Pheugopedius eisenmanni,SA,PASSERIFORMES,Troglodytidae,Инкский кустарниковый крапивник
8230,Pheugopedius genibarbis,SA,PASSERIFORMES,Troglodytidae,Усатый кустарниковый крапивник
8231,Pheugopedius mystacalis,SA,PASSERIFORMES,Troglodytidae,Бородатый кустарниковый крапивник
8232,Pheugopedius coraya,SA,PASSERIFORMES,Troglodytidae,Корайский кустарниковый крапивник
8233,Pheugopedius felix,MA,PASSERIFORMES,Troglodytidae,Яркий кустарниковый крапивник
8234,Pheugopedius maculipectus,MA,PASSERIFORMES,Troglodytidae,Пятнистогрудый кустарниковый крапивник
8235,Pheugopedius rutilus,"MA, SA",PASSERIFORMES,Troglodytidae,Рыжегрудый кустарниковый крапивник
8236,Pheugopedius sclateri,SA,PASSERIFORMES,Troglodytidae,Веснушчатый кустарниковый крапивник
8237,Thryophilus pleurostictus,MA,PASSERIFORMES,Troglodytidae,Акациевый кустарниковый крапивник
8238,Thryophilus rufalbus,"MA, SA",PASSERIFORMES,Troglodytidae,Красноспинный кустарниковый крапивник
8239,Thryophilus sernai,SA,PASSERIFORMES,Troglodytidae,Антьокский кустарниковый крапивник
8240,Thryophilus nicefori,SA,PASSERIFORMES,Troglodytidae,Кустарниковый крапивник Найсфоро
8241,Thryophilus sinaloa,MA,PASSERIFORMES,Troglodytidae,Полосатый кустарниковый крапивник
8242,Cantorchilus modestus,MA,PASSERIFORMES,Troglodytidae,Одноцветный кустарниковый крапивник
8243,Cantorchilus zeledoni,MA,PASSERIFORMES,Troglodytidae,Костариканский кустарниковый крапивник
8244,Cantorchilus elutus,MA,PASSERIFORMES,Troglodytidae,Тусклый кустарниковый крапивник
8245,Cantorchilus leucotis,"MA, SA",PASSERIFORMES,Troglodytidae,Белоухий кустарниковый крапивник
8246,Cantorchilus superciliaris,SA,PASSERIFORMES,Troglodytidae,Береговой кустарниковый крапивник
8247,Cantorchilus guarayanus,SA,PASSERIFORMES,Troglodytidae,Гуарайский кустарниковый крапивник
8248,Cantorchilus longirostris,SA,PASSERIFORMES,Troglodytidae,Длинноклювый кустарниковый крапивник
8249,Cantorchilus griseus,SA,PASSERIFORMES,Troglodytidae,Серый кустарниковый крапивник
8250,Cantorchilus semibadius,MA,PASSERIFORMES,Troglodytidae,Кустарниковый крапивник Сальвина
8251,Cantorchilus nigricapillus,"MA, SA",PASSERIFORMES,Troglodytidae,Каштановый кустарниковый крапивник
8252,Cantorchilus thoracicus,MA,PASSERIFORMES,Troglodytidae,Пестрогорлый кустарниковый крапивник
8253,Cantorchilus leucopogon,"MA, SA",PASSERIFORMES,Troglodytidae,Пестрощёкий кустарниковый крапивник
8254,Thryothorus ludovicianus,"NA, MA",PASSERIFORMES,Troglodytidae,Каролинский кустарниковый крапивник
8255,Troglodytes troglodytes,PAL,PASSERIFORMES,Troglodytidae,Крапивник
8256,Troglodytes tanneri,MA,PASSERIFORMES,Troglodytidae,Кларионский крапивник
8257,Troglodytes aedon,"NA, MA, SA",PASSERIFORMES,Troglodytidae,Домовый крапивник
8258,Troglodytes cobbi,SA,PASSERIFORMES,Troglodytidae,Фолклендский крапивник
8259,Troglodytes sissonii,MA,PASSERIFORMES,Troglodytidae,Сокоррский длиннохвостый крапивник
8260,Troglodytes rufociliatus,MA,PASSERIFORMES,Troglodytidae,Рыжебровый крапивник
8261,Troglodytes ochraceus,MA,PASSERIFORMES,Troglodytidae,Охристый крапивник
8262,Troglodytes solstitialis,SA,PASSERIFORMES,Troglodytidae,Рыжебровый крапивник
8263,Troglodytes monticola,SA,PASSERIFORMES,Troglodytidae,Сантамартийский крапивник
8264,Troglodytes rufulus,SA,PASSERIFORMES,Troglodytidae,Рораимский крапивник
8265,Thryorchilus browni,MA,PASSERIFORMES,Troglodytidae,Горный крапивник
8266,Uropsila leucogastra,MA,PASSERIFORMES,Troglodytidae,Белобрюхий крапивник
8267,Henicorhina leucosticta,"MA, SA",PASSERIFORMES,Troglodytidae,Белогрудый лесной крапивник
8268,Henicorhina leucophrys,"MA, SA",PASSERIFORMES,Troglodytidae,Серогрудый лесной крапивник
8269,Henicorhina anachoreta,SA,PASSERIFORMES,Troglodytidae,Крапивник-отшельник
