,IOC,Breeding Range,Order,Family,Serbian
9777,Spinus tristis,"NA, MA",PASSERIFORMES,Fringillidae,Zlatni američki čižak
9778,Spinus psaltria,"NA, MA, SA",PASSERIFORMES,Fringillidae,Mali američki čižak
9779,Spinus spinus,PAL,PASSERIFORMES,Fringillidae,Čižak
9780,Spinus pinus,"NA, MA",PASSERIFORMES,Fringillidae,Američki čižak
9781,Spinus atriceps,MA,PASSERIFORMES,Fringillidae,Crnokapi američki čižak
9782,Spinus notatus,MA,PASSERIFORMES,Fringillidae,Crnoglavi američki čižak
9783,Spinus barbatus,SA,PASSERIFORMES,Fringillidae,Bradati čižak
9784,Spinus xanthogastrus,"MA, SA",PASSERIFORMES,Fringillidae,Žutotrbi čižak
9785,Spinus olivaceus,SA,PASSERIFORMES,Fringillidae,Maslinasti čižak
9786,Spinus magellanicus,SA,PASSERIFORMES,Fringillidae,Magelanski čižak
9787,Spinus siemiradzkii,SA,PASSERIFORMES,Fringillidae,Šafranasti čižak
9788,Spinus yarrellii,SA,PASSERIFORMES,Fringillidae,Žutoliki čižak
9789,Spinus cucullatus,SA,PASSERIFORMES,Fringillidae,Venecuelanski čižak
9790,Spinus atratus,SA,PASSERIFORMES,Fringillidae,Crni čižak
9791,Spinus uropygialis,SA,PASSERIFORMES,Fringillidae,Kordiljerski čižak
9792,Spinus crassirostris,SA,PASSERIFORMES,Fringillidae,Debelokljuni čižak
9793,Spinus spinescens,SA,PASSERIFORMES,Fringillidae,Andski čižak
9794,Chlorophonia elegantissima,MA,PASSERIFORMES,Fringillidae,Kitnjasti orguljaš
9795,Chlorophonia cyanocephala,SA,PASSERIFORMES,Fringillidae,Golden-rumped Euphonia
9796,Chlorophonia cyanea,SA,PASSERIFORMES,Fringillidae,Hlorofonija sa plavim zatiljkom
9797,Chlorophonia pyrrhophrys,SA,PASSERIFORMES,Fringillidae,Hlorofonija sa kestenjastim grudima
9798,Chlorophonia flavirostris,SA,PASSERIFORMES,Fringillidae,Hlorofonija sa žutim okovratnikom
9799,Chlorophonia occipitalis,MA,PASSERIFORMES,Fringillidae,Plavokruna hlorofonija
9800,Chlorophonia callophrys,MA,PASSERIFORMES,Fringillidae,Hlorofonija sa zlatnom obrvom
9801,Euphonia saturata,SA,PASSERIFORMES,Fringillidae,Orguljaš sa narandžastom kapicom
9802,Euphonia plumbea,SA,PASSERIFORMES,Fringillidae,Olovni orguljaš
9803,Euphonia chlorotica,SA,PASSERIFORMES,Fringillidae,Purpurnogrudi orguljaš
9804,Euphonia finschi,SA,PASSERIFORMES,Fringillidae,Finšov orguljaš
9805,Euphonia concinna,SA,PASSERIFORMES,Fringillidae,Orguljaš somotastog čela
9806,Euphonia trinitatis,SA,PASSERIFORMES,Fringillidae,Trinidadski orguljaš
9807,Euphonia godmani,MA,PASSERIFORMES,Fringillidae,West Mexican Euphonia
9808,Euphonia affinis,MA,PASSERIFORMES,Fringillidae,Žbunjački orguljaš
9809,Euphonia luteicapilla,MA,PASSERIFORMES,Fringillidae,Žutokruni orguljaš
9810,Euphonia chrysopasta,SA,PASSERIFORMES,Fringillidae,White-lored Euphonia
9811,Euphonia minuta,"MA, SA",PASSERIFORMES,Fringillidae,Orguljaš belog podrepka
9812,Euphonia chalybea,SA,PASSERIFORMES,Fringillidae,Zelenogrli orguljaš
9813,Euphonia violacea,SA,PASSERIFORMES,Fringillidae,Ljubičasti orguljaš
9814,Euphonia hirundinacea,MA,PASSERIFORMES,Fringillidae,Žutogrli orguljaš
9815,Euphonia laniirostris,"MA, SA",PASSERIFORMES,Fringillidae,Krupnokljuni orguljaš
9816,Euphonia imitans,MA,PASSERIFORMES,Fringillidae,Spot-crowned Euphonia
9817,Euphonia gouldi,MA,PASSERIFORMES,Fringillidae,Guldov orguljaš
9818,Euphonia fulvicrissa,"MA, SA",PASSERIFORMES,Fringillidae,Žutotrbi orguljaš
9819,Euphonia anneae,"MA, SA",PASSERIFORMES,Fringillidae,Tawny-capped Euphonia
9820,Euphonia xanthogaster,"MA, SA",PASSERIFORMES,Fringillidae,Narandžastotrbi orguljaš
9821,Euphonia mesochrysa,SA,PASSERIFORMES,Fringillidae,Bronze-green Euphonia
9822,Euphonia cayennensis,SA,PASSERIFORMES,Fringillidae,Orguljaš zlatnih bokova
9823,Euphonia rufiventris,SA,PASSERIFORMES,Fringillidae,Riđotrbi orguljaš
9824,Euphonia pectoralis,SA,PASSERIFORMES,Fringillidae,Smeđotrbi orguljaš
9825,Calcarius lapponicus,"NA, PAL",PASSERIFORMES,Calcariidae,Strnadica ostrugašica
9826,Plectrophenax nivalis,"NA, PAL",PASSERIFORMES,Calcariidae,Snežna strnadica
9827,Rhodinocichla rosea,"MA, SA",PASSERIFORMES,Rhodinocichlidae,Drozdolika tangara
9828,Emberiza lathami,OR,PASSERIFORMES,Emberizidae,Ćubasta strnadica
9829,Emberiza siemsseni,PAL,PASSERIFORMES,Emberizidae,Škriljasta strnadica
9830,Emberiza calandra,PAL,PASSERIFORMES,Emberizidae,Velika strnadica
9831,Emberiza citrinella,PAL,PASSERIFORMES,Emberizidae,Strnadica žutovoljka
9832,Emberiza leucocephalos,PAL,PASSERIFORMES,Emberizidae,Beloglava strnadica
9833,Emberiza cia,PAL,PASSERIFORMES,Emberizidae,Strnadica kamenjarka
9834,Emberiza godlewskii,PAL,PASSERIFORMES,Emberizidae,Godlevskijeva strnadica
9835,Emberiza cioides,PAL,PASSERIFORMES,Emberizidae,Livadska strnadica
9836,Emberiza stewarti,OR,PASSERIFORMES,Emberizidae,Strnadica kestenjastih grudi
9837,Emberiza jankowskii,PAL,PASSERIFORMES,Emberizidae,Strnadica Jankovskog
9838,Emberiza buchanani,PAL,PASSERIFORMES,Emberizidae,Iranska strnadica
9839,Emberiza cineracea,PAL,PASSERIFORMES,Emberizidae,Žutolika strnadica
9840,Emberiza hortulana,PAL,PASSERIFORMES,Emberizidae,Vinogradska strnadica
9841,Emberiza caesia,PAL,PASSERIFORMES,Emberizidae,Riđogrla strnadica
9842,Emberiza cirlus,"PAL, AF",PASSERIFORMES,Emberizidae,Crnogrla strnadica
9843,Emberiza striolata,"PAL, AF",PASSERIFORMES,Emberizidae,Prugasta strnadica
9844,Emberiza sahari,AF,PASSERIFORMES,Emberizidae,Strnadica pokućarka
9845,Emberiza impetuani,AF,PASSERIFORMES,Emberizidae,Ševolika strnadica
9846,Emberiza tahapisi,AF,PASSERIFORMES,Emberizidae,Cimetasta strnadica kamenjarka
9847,Emberiza goslingi,AF,PASSERIFORMES,Emberizidae,Afrička strnadica kamenjarka
9848,Emberiza socotrana,AF,PASSERIFORMES,Emberizidae,Strnadica sa Sokotre
9849,Emberiza capensis,AF,PASSERIFORMES,Emberizidae,Kapska strnadica
9850,Emberiza tristrami,PAL,PASSERIFORMES,Emberizidae,Tristramova strnadica
9851,Emberiza fucata,PAL,PASSERIFORMES,Emberizidae,Smeđolika strnadica
9852,Emberiza pusilla,PAL,PASSERIFORMES,Emberizidae,Mala strnadica
9853,Emberiza chrysophrys,PAL,PASSERIFORMES,Emberizidae,Žutoobrvasta strnadica
9854,Emberiza rustica,PAL,PASSERIFORMES,Emberizidae,Šumska strnadica
9855,Emberiza elegans,PAL,PASSERIFORMES,Emberizidae,Žutogrla strnadica
9856,Emberiza aureola,PAL,PASSERIFORMES,Emberizidae,Žutogruda strnadica
9857,Emberiza poliopleura,AF,PASSERIFORMES,Emberizidae,Somalijska strnadica
9858,Emberiza flaviventris,AF,PASSERIFORMES,Emberizidae,Zlatogruda strnadica
9859,Emberiza affinis,AF,PASSERIFORMES,Emberizidae,Brown-rumped Bunting
9860,Emberiza cabanisi,AF,PASSERIFORMES,Emberizidae,Kabanisova strnadica
9861,Emberiza rutila,PAL,PASSERIFORMES,Emberizidae,Kestenjasta strnadica
9862,Emberiza koslowi,PAL,PASSERIFORMES,Emberizidae,Tibetanska strnadica
9863,Emberiza melanocephala,PAL,PASSERIFORMES,Emberizidae,Crnoglava strnadica
9864,Emberiza bruniceps,PAL,PASSERIFORMES,Emberizidae,Crvenoglava strnadica
9865,Emberiza sulphurata,PAL,PASSERIFORMES,Emberizidae,Žuta strnadica
9866,Emberiza spodocephala,PAL,PASSERIFORMES,Emberizidae,Crnolika strnadica
9867,Emberiza personata,PAL,PASSERIFORMES,Emberizidae,Masked Bunting
9868,Emberiza variabilis,PAL,PASSERIFORMES,Emberizidae,Siva strnadica
9869,Emberiza pallasi,PAL,PASSERIFORMES,Emberizidae,Palasova barska strnadica
9870,Emberiza yessoensis,PAL,PASSERIFORMES,Emberizidae,Žutoleđa strnadica
9871,Emberiza schoeniclus,PAL,PASSERIFORMES,Emberizidae,Barska strnadica
9872,Oreothraupis arremonops,SA,PASSERIFORMES,Passerellidae,Tangarasta zeba
9873,Chlorospingus flavigularis,"MA, SA",PASSERIFORMES,Passerellidae,Žutogrli hlorospingus
9874,Chlorospingus parvirostris,SA,PASSERIFORMES,Passerellidae,Kratkokljuni hlorospingus
9875,Chlorospingus canigularis,"MA, SA",PASSERIFORMES,Passerellidae,Hlorospingus pepeljastog grla
9876,Chlorospingus pileatus,MA,PASSERIFORMES,Passerellidae,Hlorospingus sa čađavom kapicom
9877,Chlorospingus flavopectus,"MA, SA",PASSERIFORMES,Passerellidae,Obični hlorospingus
9878,Chlorospingus tacarcunae,"MA, SA",PASSERIFORMES,Passerellidae,Hlorospingus iz Takarkune
9879,Chlorospingus inornatus,MA,PASSERIFORMES,Passerellidae,Pirre Chlorospingus
9880,Chlorospingus semifuscus,SA,PASSERIFORMES,Passerellidae,Tamni hlorospingus
9881,Rhynchospiza stolzmanni,SA,PASSERIFORMES,Passerellidae,Tumbes Sparrow
9882,Rhynchospiza dabbenei,SA,PASSERIFORMES,Passerellidae,Yungas Sparrow
9883,Rhynchospiza strigiceps,SA,PASSERIFORMES,Passerellidae,Chaco Sparrow
9884,Peucaea carpalis,"NA, MA",PASSERIFORMES,Passerellidae,Rufous-winged Sparrow
9885,Peucaea sumichrasti,MA,PASSERIFORMES,Passerellidae,Cinnamon-tailed Sparrow
9886,Peucaea ruficauda,MA,PASSERIFORMES,Passerellidae,Obrvasti strnad
9887,Peucaea humeralis,MA,PASSERIFORMES,Passerellidae,Black-chested Sparrow
9888,Peucaea mystacalis,MA,PASSERIFORMES,Passerellidae,Bridled Sparrow
9889,Peucaea botterii,"NA, MA",PASSERIFORMES,Passerellidae,Botteri's Sparrow
9890,Peucaea cassinii,"NA, MA",PASSERIFORMES,Passerellidae,Kasinov strnad
9891,Ammodramus savannarum,"NA, MA",PASSERIFORMES,Passerellidae,Skakavčev strnad
9892,Ammodramus humeralis,SA,PASSERIFORMES,Passerellidae,Južni skakavčev strnad
9893,Ammodramus aurifrons,SA,PASSERIFORMES,Passerellidae,Žutočeli skakavčev strnad
9894,Arremonops rufivirgatus,"NA, MA",PASSERIFORMES,Passerellidae,Maslinasti strnad
9895,Arremonops chloronotus,MA,PASSERIFORMES,Passerellidae,Zelenoleđi strnad
9896,Arremonops conirostris,"MA, SA",PASSERIFORMES,Passerellidae,Crnoprugi strnad
9897,Arremonops tocuyensis,SA,PASSERIFORMES,Passerellidae,Tokojo strnad
9898,Amphispizopsis quinquestriata,MA,PASSERIFORMES,Passerellidae,Five-striped Sparrow
9899,Amphispiza bilineata,"NA, MA",PASSERIFORMES,Passerellidae,Crnogrli strnad
9900,Spizella passerina,"NA, MA",PASSERIFORMES,Passerellidae,Strnad cvrkutić
9901,Spizella atrogularis,"NA, MA",PASSERIFORMES,Passerellidae,Crnobradi strnad
9902,Spizella wortheni,MA,PASSERIFORMES,Passerellidae,Worthen's Sparrow
9903,Arremon basilicus,SA,PASSERIFORMES,Passerellidae,Sierra Nevada Brushfinch
9904,Arremon perijanus,SA,PASSERIFORMES,Passerellidae,Perija Brushfinch
9905,Arremon costaricensis,MA,PASSERIFORMES,Passerellidae,Costa Rican Brushfinch
9906,Arremon atricapillus,"MA, SA",PASSERIFORMES,Passerellidae,Black-headed Brushfinch
9907,Arremon phaeopleurus,SA,PASSERIFORMES,Passerellidae,Caracas Brushfinch
9908,Arremon phygas,SA,PASSERIFORMES,Passerellidae,Paria Brushfinch
9909,Arremon assimilis,SA,PASSERIFORMES,Passerellidae,Grey-browed Brushfinch
9910,Arremon torquatus,SA,PASSERIFORMES,Passerellidae,Aremon strnad sa belom obrvom
9911,Arremon aurantiirostris,"MA, SA",PASSERIFORMES,Passerellidae,Orange-billed Sparrow
9912,Arremon abeillei,SA,PASSERIFORMES,Passerellidae,Black-capped Sparrow
9913,Arremon schlegeli,SA,PASSERIFORMES,Passerellidae,Zlatokrili aremon strnad
9914,Arremon taciturnus,SA,PASSERIFORMES,Passerellidae,Pectoral Sparrow
9915,Arremon franciscanus,SA,PASSERIFORMES,Passerellidae,Sao Francisco Sparrow
9916,Arremon semitorquatus,SA,PASSERIFORMES,Passerellidae,Half-collared Sparrow
9917,Arremon dorbignii,SA,PASSERIFORMES,Passerellidae,Moss-backed Sparrow
9918,Arremon flavirostris,SA,PASSERIFORMES,Passerellidae,Saffron-billed Sparrow
9919,Arremon virenticeps,MA,PASSERIFORMES,Passerellidae,Green-striped Brushfinch
9920,Arremon brunneinucha,"MA, SA",PASSERIFORMES,Passerellidae,Chestnut-capped Brushfinch
9921,Arremon crassirostris,MA,PASSERIFORMES,Passerellidae,Sooty-faced Finch
9922,Arremon castaneiceps,SA,PASSERIFORMES,Passerellidae,Olive Finch
9923,Junco vulcani,MA,PASSERIFORMES,Passerellidae,Vulkanski junko
9924,Junco insularis,MA,PASSERIFORMES,Passerellidae,Gvadalupski junko
9925,Junco hyemalis,"NA, MA",PASSERIFORMES,Passerellidae,Tamnooki junko
9926,Junco phaeonotus,"NA, MA",PASSERIFORMES,Passerellidae,Žutooki junko
9927,Junco bairdi,MA,PASSERIFORMES,Passerellidae,Berdov junko
9928,Zonotrichia capensis,"MA, SA",PASSERIFORMES,Passerellidae,Riđovrati strnad
9929,Artemisiospiza belli,"NA, MA",PASSERIFORMES,Passerellidae,Belov strnad
9930,Oriturus superciliosus,MA,PASSERIFORMES,Passerellidae,Prugasti strnad
9931,Passerculus sandwichensis,"NA, MA",PASSERIFORMES,Passerellidae,Savanski strnad
9932,Xenospiza baileyi,MA,PASSERIFORMES,Passerellidae,Strnad sa Sijera Madre
9933,Pezopetes capitalis,MA,PASSERIFORMES,Passerellidae,Nogata zeba
9934,Melozone kieneri,MA,PASSERIFORMES,Passerellidae,Riđoglavi pipilo
9935,Melozone fusca,"NA, MA",PASSERIFORMES,Passerellidae,Kanjonski pipilo
9936,Melozone albicollis,MA,PASSERIFORMES,Passerellidae,Belogrli pipilo
9937,Melozone aberti,"NA, MA",PASSERIFORMES,Passerellidae,Abertov pipilo
9938,Melozone crissalis,"NA, MA",PASSERIFORMES,Passerellidae,Kalifornijski pipilo
9939,Melozone leucotis,MA,PASSERIFORMES,Passerellidae,Belouhi pipilo
9940,Melozone biarcuata,MA,PASSERIFORMES,Passerellidae,Beloliki pipilo
9941,Melozone cabanisi,MA,PASSERIFORMES,Passerellidae,Kabanisov pipilo
9942,Aimophila rufescens,MA,PASSERIFORMES,Passerellidae,Rđasti pipilo
9943,Aimophila ruficeps,"NA, MA",PASSERIFORMES,Passerellidae,Riđokapi pipilo
9944,Aimophila notosticta,MA,PASSERIFORMES,Passerellidae,Oaxaca Sparrow
9945,Pipilo maculatus,"NA, MA",PASSERIFORMES,Passerellidae,Pegavi pipilo
9946,Pipilo ocai,MA,PASSERIFORMES,Passerellidae,Ogrličasti pipilo
9947,Atlapetes pileatus,MA,PASSERIFORMES,Passerellidae,Rufous-capped Brushfinch
9948,Atlapetes albinucha,"MA, SA",PASSERIFORMES,Passerellidae,White-naped Brushfinch
9949,Atlapetes tibialis,MA,PASSERIFORMES,Passerellidae,Yellow-thighed Brushfinch
9950,Atlapetes luteoviridis,MA,PASSERIFORMES,Passerellidae,Yellow-green Brushfinch
9951,Atlapetes albofrenatus,SA,PASSERIFORMES,Passerellidae,Moustached Brushfinch
9952,Atlapetes meridae,SA,PASSERIFORMES,Passerellidae,Merida Brushfinch
9953,Atlapetes personatus,SA,PASSERIFORMES,Passerellidae,Tepui Brushfinch
9954,Atlapetes melanocephalus,SA,PASSERIFORMES,Passerellidae,Santa Marta Brushfinch
9955,Atlapetes semirufus,SA,PASSERIFORMES,Passerellidae,Ochre-breasted Brushfinch
9956,Atlapetes flaviceps,SA,PASSERIFORMES,Passerellidae,Yellow-headed Brushfinch
9957,Atlapetes fuscoolivaceus,SA,PASSERIFORMES,Passerellidae,Dusky-headed Brushfinch
9958,Atlapetes leucopis,SA,PASSERIFORMES,Passerellidae,White-rimmed Brushfinch
9959,Atlapetes albiceps,SA,PASSERIFORMES,Passerellidae,White-headed Brushfinch
9960,Atlapetes rufigenis,SA,PASSERIFORMES,Passerellidae,Rufous-eared Brushfinch
9961,Atlapetes crassus,SA,PASSERIFORMES,Passerellidae,Choco Brushfinch
9962,Atlapetes tricolor,SA,PASSERIFORMES,Passerellidae,Tricolored Brushfinch
9963,Atlapetes schistaceus,SA,PASSERIFORMES,Passerellidae,Slaty Brushfinch
9964,Atlapetes pallidinucha,SA,PASSERIFORMES,Passerellidae,Pale-naped Brushfinch
9965,Atlapetes blancae,SA,PASSERIFORMES,Passerellidae,Antioquia Brushfinch
9966,Atlapetes latinuchus,SA,PASSERIFORMES,Passerellidae,Yellow-breasted Brushfinch
9967,Atlapetes nigrifrons,SA,PASSERIFORMES,Passerellidae,Black-fronted Brushfinch
9968,Atlapetes leucopterus,SA,PASSERIFORMES,Passerellidae,White-winged Brushfinch
9969,Atlapetes pallidiceps,SA,PASSERIFORMES,Passerellidae,Pale-headed Brushfinch
9970,Atlapetes seebohmi,SA,PASSERIFORMES,Passerellidae,Bay-crowned Brushfinch
9971,Atlapetes nationi,SA,PASSERIFORMES,Passerellidae,Rusty-bellied Brushfinch
9972,Atlapetes forbesi,SA,PASSERIFORMES,Passerellidae,Apurimac Brushfinch
9973,Atlapetes melanopsis,SA,PASSERIFORMES,Passerellidae,Black-spectacled Brushfinch
9974,Atlapetes terborghi,SA,PASSERIFORMES,Passerellidae,Vilcabamba Brushfinch
9975,Atlapetes canigenis,SA,PASSERIFORMES,Passerellidae,Cuzco Brushfinch
9976,Atlapetes melanolaemus,SA,PASSERIFORMES,Passerellidae,Grey-eared Brushfinch
9977,Atlapetes rufinucha,SA,PASSERIFORMES,Passerellidae,Bolivian Brushfinch
9978,Atlapetes fulviceps,SA,PASSERIFORMES,Passerellidae,Fulvous-headed Brushfinch
9979,Atlapetes citrinellus,SA,PASSERIFORMES,Passerellidae,Yellow-striped Brushfinch
9980,Zeledonia coronata,MA,PASSERIFORMES,Zeledoniidae,Carićolika zeledonija
9981,Icteria virens,"NA, MA",PASSERIFORMES,Icteriidae,Žutogruda ikterija
9982,Xanthocephalus xanthocephalus,"NA, MA",PASSERIFORMES,Icteridae,Crna žutoglavka
9983,Sturnella neglecta,"NA, MA",PASSERIFORMES,Icteridae,Zapadna livadska ševa
9984,Sturnella magna,"NA, MA, SA",PASSERIFORMES,Icteridae,Istočna livadska ševa
9985,Sturnella lilianae,"NA, MA",PASSERIFORMES,Icteridae,Chihuahuan Meadowlark
9986,Leistes militaris,"MA, SA",PASSERIFORMES,Icteridae,Crvenogruda livadska ševa
9987,Leistes superciliaris,SA,PASSERIFORMES,Icteridae,Belogruda livadska ševa
9988,Leistes bellicosus,SA,PASSERIFORMES,Icteridae,Peruanska livadska ševa
9989,Leistes loyca,SA,PASSERIFORMES,Icteridae,Dugorepa livadska ševa
9990,Leistes defilippii,SA,PASSERIFORMES,Icteridae,Pampaska livadska ševa
9991,Amblycercus holosericeus,"MA, SA",PASSERIFORMES,Icteridae,Žutokljuna kacika
9992,Cassiculus melanicterus,MA,PASSERIFORMES,Icteridae,Žutokrila kacika
9993,Psarocolius wagleri,"MA, SA",PASSERIFORMES,Icteridae,Oropendola kestenjaste glave
9994,Psarocolius angustifrons,SA,PASSERIFORMES,Icteridae,Crvenoleđa oropendola
9995,Psarocolius atrovirens,SA,PASSERIFORMES,Icteridae,Zagasitozelena oropendola
9996,Psarocolius decumanus,SA,PASSERIFORMES,Icteridae,Ćubasta oropendola
9997,Psarocolius viridis,SA,PASSERIFORMES,Icteridae,Zelena oropendola
9998,Psarocolius bifasciatus,SA,PASSERIFORMES,Icteridae,Maslinasta oropendola
9999,Psarocolius montezuma,MA,PASSERIFORMES,Icteridae,Montezumina oropendola
10000,Psarocolius guatimozinus,"MA, SA",PASSERIFORMES,Icteridae,Crna oropendola
10001,Psarocolius cassini,SA,PASSERIFORMES,Icteridae,Kasinova oropendula
10002,Cacicus solitarius,SA,PASSERIFORMES,Icteridae,Belokljuna kacika
10003,Cacicus chrysopterus,SA,PASSERIFORMES,Icteridae,Zlatokrila kacika
10004,Cacicus koepckeae,SA,PASSERIFORMES,Icteridae,Selva kacika
10005,Cacicus sclateri,SA,PASSERIFORMES,Icteridae,Ekvadorska kacika
10006,Cacicus cela,"MA, SA",PASSERIFORMES,Icteridae,Žutoleđa kacika
10007,Cacicus microrhynchus,"MA, SA",PASSERIFORMES,Icteridae,Scarlet-rumped Cacique
10008,Cacicus uropygialis,"MA, SA",PASSERIFORMES,Icteridae,Grimiznoleđa kacika
10009,Cacicus chrysonotus,SA,PASSERIFORMES,Icteridae,Planinska kacika
10010,Cacicus latirostris,SA,PASSERIFORMES,Icteridae,Kacika sa trakastim repom
10011,Cacicus oseryi,SA,PASSERIFORMES,Icteridae,Kacika sa šlemom
10012,Cacicus haemorrhous,SA,PASSERIFORMES,Icteridae,Crvenoleđa kacika
10013,Icterus parisorum,"NA, MA",PASSERIFORMES,Icteridae,Skotova vuga
10014,Icterus chrysater,"MA, SA",PASSERIFORMES,Icteridae,Žutoleđa američka vuga
10015,Icterus graduacauda,"NA, MA",PASSERIFORMES,Icteridae,Odubonova vuga
10016,Icterus auratus,MA,PASSERIFORMES,Icteridae,Narandžasta američka vuga
10017,Icterus gularis,"NA, MA",PASSERIFORMES,Icteridae,Altamirska vuga
10018,Icterus nigrogularis,SA,PASSERIFORMES,Icteridae,Američka žuta vuga
10019,Icterus pustulatus,MA,PASSERIFORMES,Icteridae,Američka vuga prugastih leđa
10020,Icterus abeillei,MA,PASSERIFORMES,Icteridae,Američka crnoleđa vuga
10021,Icterus mesomelas,"MA, SA",PASSERIFORMES,Icteridae,Žutorepa američka vuga
10022,Icterus pectoralis,MA,PASSERIFORMES,Icteridae,Američka vuga sa šarom na grudima
10023,Icterus graceannae,SA,PASSERIFORMES,Icteridae,Američka vuga sa belim ivicama
10024,Icterus jamacaii,SA,PASSERIFORMES,Icteridae,Kampo trupial
10025,Icterus icterus,SA,PASSERIFORMES,Icteridae,Trupial iz Venecuele
10026,Icterus croconotus,SA,PASSERIFORMES,Icteridae,Trupial narandžastih leđa
10027,Icterus maculialatus,MA,PASSERIFORMES,Icteridae,Američka vuga sa prugastim krilom
10028,Icterus wagleri,MA,PASSERIFORMES,Icteridae,Američka vuga sa crnim podrepkom
10029,Icterus cucullatus,"NA, MA",PASSERIFORMES,Icteridae,Kapuljačasta američka vuga
10030,Icterus prosthemelas,MA,PASSERIFORMES,Icteridae,Black-cowled Oriole
10031,Icterus spurius,"NA, MA",PASSERIFORMES,Icteridae,Voćnjačka američka vuga
10032,Icterus auricapillus,"MA, SA",PASSERIFORMES,Icteridae,Narandžastokruna američka vuga
10033,Icterus pyrrhopterus,SA,PASSERIFORMES,Icteridae,Raznobojna američka vuga
10034,Icterus cayanensis,SA,PASSERIFORMES,Icteridae,Američka vuga sa epoletama
10035,Agelaius tricolor,"NA, MA",PASSERIFORMES,Icteridae,Trobojni američki kos
10036,Agelaius phoeniceus,"NA, MA",PASSERIFORMES,Icteridae,Crvenokrili američki kos
10037,Molothrus rufoaxillaris,SA,PASSERIFORMES,Icteridae,Vrišteća kravarica
10038,Molothrus oryzivorus,"MA, SA",PASSERIFORMES,Icteridae,Džinovska kravarica
10039,Molothrus bonariensis,"NA, SA",PASSERIFORMES,Icteridae,Sjajna kravarica
10040,Molothrus aeneus,"NA, MA",PASSERIFORMES,Icteridae,Bronzana kravarica
10041,Molothrus armenti,SA,PASSERIFORMES,Icteridae,Bronze-brown Cowbird
10042,Molothrus ater,"NA, MA",PASSERIFORMES,Icteridae,Crna kravarica
10043,Dives warczewiczi,SA,PASSERIFORMES,Icteridae,Žbunjački američki kos
10044,Dives dives,MA,PASSERIFORMES,Icteridae,Melodični američki kos
10045,Quiscalus nicaraguensis,MA,PASSERIFORMES,Icteridae,Kukuruzar iz Nikaragve
10046,Quiscalus lugubris,"NA, SA",PASSERIFORMES,Icteridae,Karipski kukuruzar
10047,Quiscalus mexicanus,"NA, MA, SA",PASSERIFORMES,Icteridae,Dugorepi kukuruzar
10048,Hypopyrrhus pyrohypogaster,SA,PASSERIFORMES,Icteridae,Crvenotrbi kukuruzar
10049,Lampropsar tanagrinus,SA,PASSERIFORMES,Icteridae,Somotastočeli kukuruzar
10050,Gymnomystax mexicanus,SA,PASSERIFORMES,Icteridae,Vugoliki meksički kos
10051,Macroagelaius subalaris,SA,PASSERIFORMES,Icteridae,Planinski kukuruzar
10052,Macroagelaius imthurni,SA,PASSERIFORMES,Icteridae,Kukuruzar sa zlatnim čuperkom
10053,Curaeus curaeus,SA,PASSERIFORMES,Icteridae,Austral Blackbird
10054,Amblyramphus holosericeus,SA,PASSERIFORMES,Icteridae,Scarlet-headed Blackbird
10055,Anumara forbesi,SA,PASSERIFORMES,Icteridae,Forbes's Blackbird
10056,Gnorimopsar chopi,SA,PASSERIFORMES,Icteridae,Čopi ikterida
10057,Oreopsar bolivianus,SA,PASSERIFORMES,Icteridae,Bolivijski američki kos
10058,Agelaioides badius,SA,PASSERIFORMES,Icteridae,Siva riđokrilka
10059,Agelaioides fringillarius,SA,PASSERIFORMES,Icteridae,Bleda riđokrilka
10060,Agelasticus thilius,SA,PASSERIFORMES,Icteridae,Yellow-winged Blackbird
10061,Agelasticus xanthophthalmus,SA,PASSERIFORMES,Icteridae,Pale-eyed Blackbird
10062,Agelasticus cyanopus,SA,PASSERIFORMES,Icteridae,Unicolored Blackbird
10063,Chrysomus ruficapillus,SA,PASSERIFORMES,Icteridae,Kestenjasta žutoglavka
10064,Chrysomus icterocephalus,SA,PASSERIFORMES,Icteridae,Brazilska žutoglavka
10065,Xanthopsar flavus,SA,PASSERIFORMES,Icteridae,Saffron-cowled Blackbird
10066,Pseudoleistes virescens,SA,PASSERIFORMES,Icteridae,Brown-and-yellow Marshbird
10067,Pseudoleistes guirahuro,SA,PASSERIFORMES,Icteridae,Yellow-rumped Marshbird
10068,Oreothlypis superciliosa,MA,PASSERIFORMES,Parulidae,Crescent-chested Warbler
10069,Oreothlypis gutturalis,MA,PASSERIFORMES,Parulidae,Vatrogrla cvrkutarka
10070,Leiothlypis luciae,"NA, MA",PASSERIFORMES,Parulidae,Lusina cvrkutarka
10071,Geothlypis poliocephala,MA,PASSERIFORMES,Parulidae,Cvrkutarka sa sivom kapicom
10072,Geothlypis aequinoctialis,SA,PASSERIFORMES,Parulidae,Maskirana žutogrla cvrkutarka
10073,Geothlypis chiriquensis,MA,PASSERIFORMES,Parulidae,Chiriqui Yellowthroat
10074,Geothlypis auricularis,SA,PASSERIFORMES,Parulidae,Black-lored Yellowthroat
10075,Geothlypis velata,SA,PASSERIFORMES,Parulidae,Southern Yellowthroat
10076,Geothlypis semiflava,"MA, SA",PASSERIFORMES,Parulidae,Cvrkutarka sa maslinastom kapicom
10077,Geothlypis speciosa,MA,PASSERIFORMES,Parulidae,Black-polled Yellowthroat
